Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,1.0033470392227173,1.0048120021820068,1.0020229816436768,1.0037599802017212,1.0037599802017212,286302515
2021-01-01,1.0037740468978882,1.005823016166687,1.0032470226287842,1.0044870376586914,1.0044870376586914,278153536
2021-01-02,1.0045009851455688,1.0050740242004395,0.9990149736404419,1.0009219646453857,1.0009219646453857,588836476
2021-01-03,1.000954031944275,1.0021799802780151,1.0000330209732056,1.001397967338562,1.001397967338562,537297796
2021-01-04,1.0014050006866455,1.0036540031433105,1.0005069971084595,1.0012320280075073,1.0012320280075073,638960956
2021-01-05,1.0012329816818237,1.0027259588241577,1.0002299547195435,1.0022859573364258,1.0022859573364258,479869770
2021-01-06,1.002392053604126,1.0032739639282227,1.0000120401382446,1.0016260147094727,1.0016260147094727,449099903
2021-01-07,1.0016130208969116,1.0019700527191162,0.9992160201072693,0.999750018119812,0.999750018119812,507948433
2021-01-08,0.9997739791870117,1.001204013824463,0.99931401014328,1.000167965888977,1.000167965888977,573546810
2021-01-09,1.0001189708709717,1.0016939640045166,0.9992930293083191,1.0012439489364624,1.0012439489364624,426771932
2021-01-10,1.0012619495391846,1.0076889991760254,0.9994660019874573,0.9996979832649231,0.9996979832649231,461427626
2021-01-11,0.999567985534668,1.0130759477615356,0.9984530210494995,1.0010160207748413,1.0010160207748413,958822243
2021-01-12,1.0009599924087524,1.0015720129013062,0.9993450045585632,1.0005799531936646,1.0005799531936646,448764354
2021-01-13,1.000412940979004,1.0021580457687378,0.9996780157089233,1.000404953956604,1.000404953956604,333395308
2021-01-14,1.00040602684021,1.0026040077209473,1.0000720024108887,1.0018880367279053,1.0018880367279053,399350087
2021-01-15,1.0019639730453491,1.00278902053833,1.0002620220184326,1.0012530088424683,1.0012530088424683,411495878
2021-01-16,1.0012400150299072,1.0023599863052368,1.00039803981781,1.0007460117340088,1.0007460117340088,321098274
2021-01-17,1.0007339715957642,1.0013309717178345,0.9999610185623169,1.0006849765777588,1.0006849765777588,249817374
2021-01-18,1.000815987586975,1.0014899969100952,0.9999610185623169,1.0008569955825806,1.0008569955825806,235553948
2021-01-19,1.0008820295333862,1.0022039413452148,0.9999819993972778,1.000241994857788,1.000241994857788,466574610
2021-01-20,1.0002189874649048,1.0009150505065918,0.9992219805717468,1.0009150505065918,1.0009150505065918,378694413
2021-01-21,1.000920057296753,1.001391053199768,0.9991869926452637,1.000412940979004,1.000412940979004,462420708
2021-01-22,1.0006330013275146,1.001904010772705,1.000298023223877,1.0014770030975342,1.0014770030975342,452632736
2021-01-23,1.0013949871063232,1.00387704372406,1.0009829998016357,1.0031369924545288,1.0031369924545288,297679712
2021-01-24,1.0031919479370117,1.0037000179290771,1.001781940460205,1.0019789934158325,1.0019789934158325,301905576
2021-01-25,1.0019700527191162,1.002763032913208,1.0003080368041992,1.0004470348358154,1.0004470348358154,351131614
2021-01-26,1.000393033027649,1.0021569728851318,0.9995399713516235,1.0008859634399414,1.0008859634399414,313797531
2021-01-27,1.0007929801940918,1.0019099712371826,0.9994189739227295,1.0008970499038696,1.0008970499038696,340795072
2021-01-28,1.000892996788025,1.0016130208969116,0.9999709725379944,1.0005899667739868,1.0005899667739868,238725114
2021-01-29,1.0002410411834717,1.0017189979553223,0.9991490244865417,0.99965900182724,0.99965900182724,410430767
2021-01-30,0.9995539784431458,1.0007569789886475,0.9994149804115295,1.0007059574127197,1.0007059574127197,207085085
2021-01-31,1.0006320476531982,1.0029300451278687,0.9994210004806519,1.000277042388916,1.000277042388916,219524281
2021-02-01,1.0003130435943604,1.0009729862213135,0.9997850060462952,1.000797986984253,1.000797986984253,226213887
2021-02-02,1.0007679462432861,1.0019309520721436,1.000175952911377,1.0013840198516846,1.0013840198516846,362186002
2021-02-03,1.001405954360962,1.001966953277588,1.0006840229034424,1.000694990158081,1.000694990158081,287910066
