Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,129.48028564453125,130.16624450683594,123.03648376464844,124.69032287597656,124.69032287597656,6274573135
2021-01-01,124.67276763916016,133.18576049804688,123.32807922363281,126.2303466796875,126.2303466796875,7326980728
2021-01-02,126.27296447753906,140.37257385253906,123.69361877441406,136.94488525390625,136.94488525390625,10532067985
2021-01-03,136.94940185546875,163.8986358642578,135.7399139404297,160.19058227539062,160.19058227539062,15385661271
2021-01-04,160.2711639404297,173.02781677246094,143.62396240234375,154.8073272705078,154.8073272705078,13659785704
2021-01-05,154.89755249023438,162.85018920898438,147.4000701904297,158.5947723388672,158.5947723388672,10192818976
2021-01-06,158.6659698486328,169.65745544433594,155.45286560058594,169.0169219970703,169.0169219970703,10743884477
2021-01-07,169.06822204589844,180.87338256835938,162.80654907226562,169.61595153808594,169.61595153808594,13099581396
2021-01-08,169.6415252685547,181.76663208007812,151.65025329589844,173.27987670898438,173.27987670898438,14705614969
2021-01-09,173.25375366210938,179.09007263183594,164.15248107910156,177.4839324951172,177.4839324951172,11136779198
2021-01-10,177.47718811035156,185.7803497314453,163.7847900390625,171.11483764648438,171.11483764648438,12774461582
2021-01-11,171.09483337402344,171.09483337402344,114.95645904541016,139.25222778320312,139.25222778320312,17994263494
2021-01-12,139.07998657226562,146.7163848876953,128.9265899658203,132.6359100341797,132.6359100341797,11898878222
2021-01-13,132.658935546875,147.87789916992188,126.86204528808594,147.4213409423828,147.4213409423828,8421748673
2021-01-14,147.37974548339844,156.56692504882812,144.1827850341797,152.08457946777344,152.08457946777344,8271411810
2021-01-15,152.1115264892578,155.1172332763672,132.19332885742188,144.237548828125,144.237548828125,8416625031
2021-01-16,144.1881866455078,152.06082153320312,140.00201416015625,144.2654266357422,144.2654266357422,7183807955
2021-01-17,144.22483825683594,146.82423400878906,137.0695037841797,142.43081665039062,142.43081665039062,6098835633
2021-01-18,142.4346466064453,154.52569580078125,138.81143188476562,152.1440887451172,152.1440887451172,6640211538
2021-01-19,152.1975555419922,165.92430114746094,150.48788452148438,153.4874267578125,153.4874267578125,9314780275
2021-01-20,153.35609436035156,156.13848876953125,139.0926971435547,149.93142700195312,149.93142700195312,9002037330
2021-01-21,149.944091796875,149.944091796875,126.23419952392578,130.1334991455078,130.1334991455078,8703006148
2021-01-22,130.07383728027344,141.0155029296875,123.64692687988281,137.27145385742188,137.27145385742188,8550579025
2021-01-23,137.19769287109375,142.33926391601562,135.1113739013672,137.75099182128906,137.75099182128906,5380627901
2021-01-24,137.73870849609375,142.65240478515625,134.4783935546875,141.47731018066406,141.47731018066406,4972171240
2021-01-25,141.4382781982422,147.15028381347656,137.0099334716797,137.44419860839844,137.44419860839844,6344860290
2021-01-26,137.43292236328125,139.5409698486328,128.8664093017578,134.75526428222656,134.75526428222656,5897389103
2021-01-27,134.75144958496094,134.86264038085938,118.78751373291016,122.94947052001953,122.94947052001953,6281091792
2021-01-28,122.94125366210938,135.79153442382812,121.5363540649414,133.4869384765625,133.4869384765625,5828235786
2021-01-29,138.21852111816406,144.95843505859375,132.16175842285156,135.0125732421875,135.0125732421875,8878892082
2021-01-30,134.99925231933594,135.9033966064453,128.91656494140625,133.4000244140625,133.4000244140625,6332391807
